id,title,url
0,Test article for dev use,https://en.wikinews.org/wiki?curid=205326
1,Another test article for the devs,https://en.wikinews.org/wiki?curid=205328
2,"Copenhagen hotel explosion may have been terror attack, say officials",https://en.wikinews.org/wiki?curid=205355
3,Nokia appoints Microsoft Business Division Head as chief executive,https://en.wikinews.org/wiki?curid=205528
4,Six die in US-Iraqi raid in Fallujah,https://en.wikinews.org/wiki?curid=206241
5,Tulsa media erroneously reports San Diego Comic Con Pedobear was 'registered sex offender',https://en.wikinews.org/wiki?curid=206259
6,Victoria,https://en.wikinews.org/wiki?curid=206369
7,Continental and United Airlines shareholders approve merger,https://en.wikinews.org/wiki?curid=206718
8,Collingwood and St. Kilda draw 2010 AFL Grand Final,https://en.wikinews.org/wiki?curid=207190
9,"Leonard Skinner, namesake of rock group Lynyrd Skynyrd, dies at age 77",https://en.wikinews.org/wiki?curid=207432
10,Greenpeace demands Chilean President create marine parks,https://en.wikinews.org/wiki?curid=207455
11,Belgian Eurovision singer Fud Leclerc dies at age 86,https://en.wikinews.org/wiki?curid=207717
12,Former Ecuadorian football referee Byron Moreno arrested for drug smuggling,https://en.wikinews.org/wiki?curid=207739
13,"Evanston, Illinois middle school evacuated after bomb threat",https://en.wikinews.org/wiki?curid=207945
14,Research in Motion to launch new tablet device,https://en.wikinews.org/wiki?curid=207993
15,Kenyan court jails seven pirates for 2009 attempted hijack of Maltese ship,https://en.wikinews.org/wiki?curid=208370
16,Owner of Segway Jimi Heselden dies after scooter cliff fall aged 62,https://en.wikinews.org/wiki?curid=208933
17,Genetic link to migraines discovered by researchers,https://en.wikinews.org/wiki?curid=208936
18,Utah police investigate polygamist family from reality show 'Sister Wives',https://en.wikinews.org/wiki?curid=209192
19,White House Chief of Staff Rahm Emanuel steps down to run for Mayor of Chicago,https://en.wikinews.org/wiki?curid=210065
20,Collingwood win 2010 AFL Grand Final replay,https://en.wikinews.org/wiki?curid=210331
21,"Plane crash on Catalina Island injures three, causes bush fire",https://en.wikinews.org/wiki?curid=210549
22,Plane crash in the Bahamas kills eight,https://en.wikinews.org/wiki?curid=211040
23,Macaque kills newborn in Malaysia,https://en.wikinews.org/wiki?curid=211315
24,Australian Dollar reaches a 27 year high,https://en.wikinews.org/wiki?curid=211320
25,"Patient in Buckinghamshire hospital was treated in toilet, inquiry hears",https://en.wikinews.org/wiki?curid=211734
26,Winning British EuroMillions lottery ticket worth £113 million claimed,https://en.wikinews.org/wiki?curid=211769
27,"Chilean miners rescue to begin on Tuesday, Minister Mañalich announces",https://en.wikinews.org/wiki?curid=211789
28,"Additional damage to reservoir prompts evacuation of Kolontar, Hungary",https://en.wikinews.org/wiki?curid=211828
29,Baghdad judge clears pair of murdering six foreign soldiers,https://en.wikinews.org/wiki?curid=212136
30,Sebastian Vettel wins 2010 Japanese Grand Prix,https://en.wikinews.org/wiki?curid=212141
31,"Car explosion in San Pedro, California was act of vandalism, say police",https://en.wikinews.org/wiki?curid=212203
32,NASCAR: Tony Stewart wins 2010 Pepsi Max 400,https://en.wikinews.org/wiki?curid=212277
33,Author Amy Scobee recounts abuse as Scientology executive,https://en.wikinews.org/wiki?curid=212316
34,"Andrew Marr angers bloggers, describing them as 'inadequate, pimpled and single'",https://en.wikinews.org/wiki?curid=212445
35,Brazilian astronomers propose new model of our galaxy,https://en.wikinews.org/wiki?curid=213235
36,Nevada Republican opposes Angle for US Senate over 'extreme' anti-abortion position,https://en.wikinews.org/wiki?curid=213432
37,Four miners trapped in Ecuador mine,https://en.wikinews.org/wiki?curid=213457
38,Archaeologists uncover Britain's earliest known hospital,https://en.wikinews.org/wiki?curid=214763
39,Earthquake shakes western Mexico,https://en.wikinews.org/wiki?curid=214871
40,Nearly 200 dead in Haitian cholera outbreak,https://en.wikinews.org/wiki?curid=214884
41,"Typhoon Megi kills seven in Taiwan, heads towards southern China",https://en.wikinews.org/wiki?curid=215122
42,"Cyclone Giri makes landfall in Myanmar, kills one",https://en.wikinews.org/wiki?curid=215337
43,"Tropical storm Richard nears hurricane strength, soaks Honduras",https://en.wikinews.org/wiki?curid=215411
44,Hurricane Richard makes landfall in Belize,https://en.wikinews.org/wiki?curid=215661
45,University of Missouri Hospital in lockdown after 'violent individual' attempts to gain access to building,https://en.wikinews.org/wiki?curid=216277
46,BBC support song making chart impact,https://en.wikinews.org/wiki?curid=217600
47,Jerry Brown defeats Meg Whitman in election for California governorship,https://en.wikinews.org/wiki?curid=217802
48,New insulin-resistance discovery may help diabetes sufferers,https://en.wikinews.org/wiki?curid=217859
49,UK judge reveals gang warfare crimes of policeman,https://en.wikinews.org/wiki?curid=218515
50,Hong Kong flu kills six in Japan,https://en.wikinews.org/wiki?curid=218530
51,Celtic defeat Aberdeen 9-0,https://en.wikinews.org/wiki?curid=218546
52,"Vettel wins 2010 Brazilian Grand Prix, securing Constructors' Championship for Red Bull",https://en.wikinews.org/wiki?curid=218816
53,At least eight dead after bus crash in Albania,https://en.wikinews.org/wiki?curid=219218
54,Drunken passenger triggers UK-Dominican Republic flight's diversion to Bermuda,https://en.wikinews.org/wiki?curid=219479
55,French Prime Minister Francois Fillon resigns,https://en.wikinews.org/wiki?curid=220356
56,Iraqi government approves power-sharing deal eight months after elections,https://en.wikinews.org/wiki?curid=220366
57,"Pennsylvania father kills two daughters, wife, then commits suicide",https://en.wikinews.org/wiki?curid=220401
58,"Over 900 people dead, 14,000 infected in Haitian cholera outbreak",https://en.wikinews.org/wiki?curid=220422
59,'Criminal in a police uniform' given eleven years jail for role in English drugs gang,https://en.wikinews.org/wiki?curid=221148
60,Vettel becomes youngest Formula One champion,https://en.wikinews.org/wiki?curid=221152
61,Dominican comedian Freddy Beras-Goico dies aged 69,https://en.wikinews.org/wiki?curid=221621
62,Robbery suspect flees on riding mower,https://en.wikinews.org/wiki?curid=221715
63,NASCAR: Edwards wins 2010 Ford 400; Johnson claims championship,https://en.wikinews.org/wiki?curid=222424
64,SpaceX Dragon spacecraft certified by US Federal Aviation Administration,https://en.wikinews.org/wiki?curid=222694
65,North Korean military fires artillery on populated South Korean island,https://en.wikinews.org/wiki?curid=222738
66,29 presumed dead after second explosion at New Zealand mine,https://en.wikinews.org/wiki?curid=223041
67,Korean Peninsula on the 'brink of war': DPRK,https://en.wikinews.org/wiki?curid=223101
68,"Pichilemu, Chile's Wastewater Treatment Plant to be inaugurated",https://en.wikinews.org/wiki?curid=223224
69,Jawbone found in Aruba is not Natalee Holloway's,https://en.wikinews.org/wiki?curid=223324
70,Up to 31 women sue UK police force over rapist officer,https://en.wikinews.org/wiki?curid=223588
71,Scottish judge criticises medical care of murdered baby,https://en.wikinews.org/wiki?curid=223869
72,Four aftershocks hit central Chile; no damages reported,https://en.wikinews.org/wiki?curid=224000
73,Pope Benedict XVI to visit Benin in 2011,https://en.wikinews.org/wiki?curid=224124
74,Tony Blair debates religion with Christopher Hitchens in Canada,https://en.wikinews.org/wiki?curid=224438
75,Wikileaks cable disclosure shows Arab fears of Iranian ambitions,https://en.wikinews.org/wiki?curid=224481
76,"Wikinews Shorts: November 30, 2010",https://en.wikinews.org/wiki?curid=225028
77,Empire Strikes Back director Irvin Kershner dies aged 87,https://en.wikinews.org/wiki?curid=225067
78,Author and contrarian Christopher Hitchens dies at age 62,https://en.wikinews.org/wiki?curid=225287
79,'Critical safety issue' with A380 engines,https://en.wikinews.org/wiki?curid=225494
80,"FIFA announce Russia to host 2018 World Cup, Qatar to host 2022 World Cup",https://en.wikinews.org/wiki?curid=225534
81,UK Parliament to vote on tuition fee rise on Thursday,https://en.wikinews.org/wiki?curid=226216
82,US federal judge dismisses targeted killing lawsuit,https://en.wikinews.org/wiki?curid=227061
83,Huge fire in Chilean jail kills 81; 21 injured,https://en.wikinews.org/wiki?curid=227272
84,Virginia man arrested for plotting to bomb Washington DC metro,https://en.wikinews.org/wiki?curid=228939
85,"Don Van Vliet, best known as 'Captain Beefheart', dies aged 69",https://en.wikinews.org/wiki?curid=229807
86,Major snow disruption in Britain; Wikinews reports from affected village,https://en.wikinews.org/wiki?curid=229944
